Full Name,Age,City,Are you currently a student ?,What is your highest/current education level ?,Are you currently employed ?,"If Yes, what is your monthly income ?",Do you use UPI ?,"If yes, how many UPI transactions do you make in a week?",What is your average monthly spending ?,Do you pay rent ?,"If yes, how much you pay monthly ?",How do you pay your rent ?,"Do you pay bills (electricity, mobile, internet) on time?",How much do you spend on mobile recharges monthly?,How many subscriptions do you pay for?,List your paid subscriptions,How often are you unable to pay subscriptions on time?,What phone type do you use?,Phone brand and model ?,How many hours/day do you use your phone?,Do you actively save a portion of your income?,"If yes, how much do you save per month","If you save money, where do you keep your savings ?",Do you use savings tracking applications ?,Which financial apps do you use regularly?,"Do you have any active EMIs or loans (student loan, mobile EMI, etc.)?","If yes, total EMI amount paid per month?","Have you ever used Buy Now Pay Later (BNPL) services (ZestMoney, LazyPay, Simpl)?",Do you have a financial goal you're saving for?,"If yes, what is the goal?",How soon do you aim to achieve this goal (months)?,Do you have an emergency fund that can cover 3+ months of expenses?,"If faced with an emergency, how would you manage funds?",Do you invest in crypto ?,Do you invest in any of the following ?,Do you participate in charity donations or volunteering?,How long have you been living at your current address (months) ?,How long have you been at your current job/college (months)?
Devika Pingle,18,Chandigarh,Yes,UnderGraduate,Yes,25000,Yes,27,27000,Yes,9500,Cash,Always,299,0,,Never,Mid-Range,Redmi Note 10,9,No,0,,No,"Upstox, PhonePe, GPay",No,0,No,No,,,Yes,Savings,Yes,"Stocks, Fixed Deposits",No,42,33
Tanveer Mahal,22,Delhi,Yes,PostGraduate,No,0,Yes,29,8500,Yes,17500,Bank Transfer,Always,299,2,"Others, Educational",Sometimes,Mid-Range,Poco F4,10,No,0,,Yes,Others,Yes,7000,No,No,,,Yes,Savings,No,,Yes,41,28
Unnati Sachdeva,19,Hubli,Yes,UnderGraduate,Yes,32000,Yes,21,25000,No,0,,Always,399,2,"Social Media, Music",Never,Budget,Moto Edge 40,6,Yes,8000,Bank,Yes,"Paytm, Groww, Jar, Upstox",Yes,2000,No,Yes,Emergency Fund,24.0,Yes,Savings,No,Stocks,No,38,25
Tamanna Narayan,19,Bhubaneswar,Yes,UnderGraduate,Yes,16000,Yes,20,12500,Yes,11500,UPI,Always,299,0,,Never,Mid-Range,Samsung M12,9,Yes,4000,Wallet Apps,Yes,"Paytm, CoinSwitch, Groww",No,0,Yes,No,,,Yes,Savings,No,Mutual Funds,No,55,21
Pratyush Sheth,24,Nashik,Yes,UnderGraduate,No,0,Yes,28,7000,Yes,5000,Bank Transfer,Always,199,1,Educational,Sometimes,Budget,Redmi Note 10 Pro,5,No,0,,Yes,"Others, Paytm, Groww",No,0,No,Yes,Emergency Fund,13.0,Yes,Savings,No,,No,22,28
Tanay Lalla,18,Mumbai,Yes,UnderGraduate,Yes,14000,Yes,20,12500,Yes,17000,UPI,Sometimes,499,1,Educational,Sometimes,Mid-Range,Redmi Note 10 Pro,7,Yes,1500,Bank,No,"Groww, CoinSwitch, Jar",No,0,No,No,,,No,Savings,No,PPF,Yes,43,10
Madhav Cherian,18,Nashik,Yes,UnderGraduate,No,0,Yes,20,7000,Yes,11500,UPI,Sometimes,499,0,,Never,Budget,Redmi Note 12 Pro,9,No,0,,Yes,Paytm,No,0,No,Yes,Travel,11.0,Yes,Savings,No,,No,43,27
Upadhriti Gala,22,Mysuru,Yes,UnderGraduate,No,0,Yes,18,3500,No,0,,Always,299,3,"Educational, Music, Streaming",Never,Mid-Range,Redmi Note 10 Pro,9,No,0,,No,"Groww, GPay",No,0,No,Yes,Gadget,10.0,No,Savings,No,"Other, Fixed Deposits, PPF",No,6,23
Utkarsh Raju,24,Rajkot,Yes,PostGraduate,Yes,27000,Yes,29,27000,Yes,6500,UPI,Always,299,2,"Others, Streaming",Never,Budget,Poco M6 Pro,6,No,0,,Yes,,No,0,No,Yes,Travel,5.0,No,Credit Card,No,Stocks,No,54,44
Charita Divan,24,Hyderabad,Yes,UnderGraduate,Yes,14000,Yes,16,13000,Yes,8500,UPI,Always,399,0,,Never,Budget,Poco M3 Pro,7,No,0,,No,Fi,No,0,No,Yes,Travel,14.0,No,Friends,No,PPF,No,18,27
Chatresh Nanda,19,Bengaluru,Yes,UnderGraduate,No,0,Yes,13,5500,Yes,15500,Cash,Always,399,1,Music,Sometimes,Mid-Range,Redmi Note 12 Pro,4,No,0,,Yes,"PhonePe, CoinSwitch, Groww",Yes,6500,Yes,Yes,Gadget,18.0,Yes,Savings,No,,No,27,5
Rishi Bala,19,Jaipur,Yes,UnderGraduate,Yes,28000,Yes,12,24000,Yes,4500,UPI,Never,499,2,"Streaming, Educational",Sometimes,Flag-Ship,Poco F5,3,Yes,3500,Bank,Yes,"CoinSwitch, Jar",No,0,Yes,Yes,Other,12.0,Yes,Savings,No,,No,55,44
Hamsini Pillay,22,Ludhiana,Yes,PostGraduate,Yes,25000,Yes,19,27000,Yes,4000,Bank Transfer,Always,199,0,,Never,Mid-Range,Samsung M14 5G,8,No,0,,Yes,Others,No,0,No,Yes,Travel,14.0,Yes,Savings,No,Other,No,16,27
Siya Munshi,18,Amritsar,Yes,UnderGraduate,No,0,Yes,34,7000,Yes,7000,UPI,Never,399,0,,Never,Budget,Redmi Note 13,8,No,0,,Yes,Paytm,No,0,Yes,Yes,Emergency Fund,6.0,No,Savings,No,,No,54,45
Parth Mahajan,22,Varanasi,Yes,PostGraduate,Yes,41000,No,0,30000,Yes,6000,UPI,Always,299,0,,Never,Mid-Range,Redmi Note 14 Pro,5,Yes,11500,Cash,Yes,Upstox,No,0,Yes,Yes,Emergency Fund,15.0,Yes,Savings,Yes,Mutual Funds,No,25,41
Indrajit Choudhry,23,Indore,Yes,PostGraduate,Yes,59000,Yes,35,43000,No,0,,Always,199,0,,Never,Budget,Poco M4 Pro,6,Yes,14000,Bank,Yes,"Upstox, CoinSwitch",Yes,8000,No,Yes,Travel,20.0,No,Friends,No,,No,39,9
Ekaraj Patil,18,Ludhiana,Yes,UnderGraduate,No,0,Yes,31,7000,Yes,15000,UPI,Always,399,0,,Never,Mid-Range,Poco F4,5,No,0,,No,"Fi, CoinSwitch",No,0,No,Yes,Emergency Fund,20.0,Yes,Savings,No,Stocks,No,44,48
Faris Koshy,20,Hyderabad,Yes,UnderGraduate,No,0,Yes,30,6500,Yes,17000,UPI,Always,499,1,Music,Never,Budget,Samsung A52,8,No,0,,Yes,,Yes,2000,No,Yes,Gadget,8.0,No,Other,No,,No,14,35
Zashil Ray,19,Warangal,Yes,UnderGraduate,No,0,Yes,30,8000,No,0,,Always,299,1,Educational,Never,Budget,Poco F1,7,No,0,,Yes,"Jar, PhonePe",No,0,No,No,,,No,Savings,No,,No,16,46
Ladli Sandal,24,Salem,Yes,PostGraduate,No,0,No,0,6000,Yes,12000,UPI,Always,299,0,,Never,Mid-Range,Moto Edge 40,10,No,0,,Yes,Groww,No,0,Yes,Yes,Gadget,5.0,No,Credit Card,Yes,,No,29,23
Matthew Kamdar,21,Kochi,Yes,UnderGraduate,Yes,39000,Yes,15,29000,Yes,11500,UPI,Always,299,1,Social Media,Never,Mid-Range,Realme Narzo 70,7,Yes,13500,Wallet Apps,No,Fi,No,0,No,No,,,Yes,Savings,Yes,Other,No,32,28
Ojasvi Bobal,25,Coimbatore,Yes,PostGraduate,No,0,Yes,23,3500,No,0,,Always,249,1,Educational,Sometimes,Mid-Range,Realme Narzo 60 Pro,8,No,0,,Yes,,Yes,7500,No,No,,,No,Credit Card,No,,Yes,25,35
Wriddhish Sur,24,Agra,Yes,PostGraduate,No,0,Yes,15,2500,Yes,11500,UPI,Always,499,2,"Music, Others",Sometimes,Mid-Range,Poco X3 Pro,6,No,0,,Yes,"Groww, Paytm, PhonePe",No,0,No,Yes,Emergency Fund,8.0,Yes,Savings,No,,No,35,20
Mohini Ratti,24,Hubli,Yes,PostGraduate,Yes,36000,Yes,22,39000,Yes,14000,UPI,Always,249,1,Others,Never,Mid-Range,Samsung A73,6,No,0,,No,Others,No,0,No,No,,,No,Friends,No,Mutual Funds,No,28,47
Nathan Wali,20,Ahmedabad,Yes,UnderGraduate,No,0,Yes,24,5000,Yes,8000,Bank Transfer,Always,299,1,Music,Never,Budget,Moto Edge 20,10,No,0,,Yes,CoinSwitch,No,0,No,Yes,Travel,4.0,Yes,Savings,Yes,"PPF, Mutual Funds, Stocks",No,39,6
